,Cohort Year,School,Conference,Sport,State,GSR,FGR
92,2006,Kent State University,Mid-American Conference,Football,OH,58,52.0
93,2006,University of Kentucky,Southeastern Conference,Football,KY,62,55.0
94,2006,Lafayette College,Patriot League,Football,PA,96,88.0
95,2006,Lehigh University,Patriot League,Football,PA,81,73.0
96,2006,Liberty University,Big South Conference,Football,VA,65,54.0
97,2006,Louisiana State University,Southeastern Conference,Football,LA,74,44.0
98,2006,Louisiana Tech University,Western Athletic Conference,Football,LA,79,57.0
99,2006,University of Louisville,American Athletic Conference,Football,KY,66,49.0
100,2006,"University of Maine, Orono",Colonial Athletic Association,Football,ME,82,68.0
101,2006,Marist College,Pioneer Football League,Football,NY,77,
102,2006,Marshall University,Conference USA,Football,WV,66,54.0
103,2006,"University of Maryland, College Park",Atlantic Coast Conference,Football,MD,73,63.0
104,2006,"University of Massachusetts, Amherst",Mid-American Conference,Football,MA,61,55.0
105,2006,McNeese State University,Southland Conference,Football,LA,65,61.0
106,2006,University of Memphis,Conference USA,Football,TN,74,65.0
107,2006,Miami University (Ohio),Mid-American Conference,Football,OH,75,67.0
108,2006,University of Miami (Florida),Atlantic Coast Conference,Football,FL,86,69.0
109,2006,Michigan State University,Big Ten Conference,Football,MI,70,54.0
110,2006,University of Michigan,Big Ten Conference,Football,MI,66,57.0
111,2006,Middle Tennessee State University,Sun Belt Conference,Football,TN,73,54.0
112,2006,"University of Minnesota, Twin Cities",Big Ten Conference,Football,MN,65,50.0
113,2006,Mississippi State University,Southeastern Conference,Football,MS,59,46.0
114,2006,Mississippi Valley State University,Southwestern Athletic Conf.,Football,MS,31,33.0
115,2006,University of Mississippi,Southeastern Conference,Football,MS,55,42.0
116,2006,"University of Missouri, Columbia",Southeastern Conference,Football,MO,74,57.0
117,2006,Monmouth University,Northeast Conference,Football,NJ,81,61.0
118,2006,Montana State University-Bozeman,Big Sky Conference,Football,MT,63,40.0
119,2006,University of Montana,Big Sky Conference,Football,MT,71,72.0
120,2006,Morehead State University,Pioneer Football League,Football,KY,43,
121,2006,Morgan State University,Mid-Eastern Athletic Conf.,Football,MD,44,41.0
122,2006,Murray State University,Ohio Valley Conference,Football,KY,69,49.0
123,2006,"University of North Carolina, Chapel Hill",Atlantic Coast Conference,Football,NC,65,52.0
124,2006,"University of Nebraska, Lincoln",Big Ten Conference,Football,NE,76,60.0
125,2006,"University of Nevada, Las Vegas",Mountain West Conference,Football,NV,64,69.0
126,2006,"University of Nevada, Reno",Mountain West Conference,Football,NV,71,62.0
127,2006,University of New Hampshire,Colonial Athletic Association,Football,NH,80,71.0
128,2006,New Mexico State University,Western Athletic Conference,Football,NM,63,44.0
129,2006,University of New Mexico,Mountain West Conference,Football,NM,58,42.0
130,2006,Nicholls State University,Southland Conference,Football,LA,68,35.0
